House,Duration,Peak,Volume,Outdoor_Events_x,Above_avg_vol,Above_avg_dur,Above_avg_peak,Outdoor_Events_y,Outdoor_User
12S1279,18830,436.53999999999746,282.1699999999997,0,0,0,0,0,0
12S1283,26520,375.1699999999999,654.4499999999998,0,0,0,0,0,0
12S1285,18640,703.1099999999997,278.75000000000034,0,0,0,0,0,0
12S1287,67110,1536.3500000000201,1572.4499999999846,0,1,1,1,0,0
12S1289,53200,1047.6999999999948,1368.3399999999997,0,1,1,1,0,0
12S129,22460,678.6899999999985,279.6899999999998,0,0,0,0,0,0
12S1291,50800,684.1399999999961,734.663000000001,0,1,1,0,0,0
12S1292,75570,1729.5100000000302,903.36,0,1,1,1,0,0
12S1294,98520,1683.8900000000096,1719.6899999999953,0,1,1,1,0,0
12S1297,30370,931.1400000000008,484.91999999999996,0,0,0,1,0,0
12S1298,38520,739.4899999999983,427.7500000000001,0,0,1,1,0,0
12S1300,163550,2094.4400000000546,1549.359999999999,0,1,1,1,0,0
12S1301,36580,762.8599999999948,778.0299999999991,0,1,1,1,0,0
12S1303,33180,591.9799999999975,573.1999999999996,0,0,0,0,0,0
12S1304,56050,893.9199999999998,1464.3099999999968,0,1,1,1,0,0
12S1306,27650,591.3099999999998,863.4700000000005,0,1,0,0,0,0
12S1307,27210,872.8599999999941,405.76999999999975,0,0,0,1,0,0
12S1308,49330,1085.749999999996,1119.4199999999998,0,1,1,1,0,0
12S1309,53430,1170.459999999996,1278.0800000000002,0,1,1,1,0,0
12S131,32510,905.8799999999991,857.829999999995,0,1,0,1,4,1
12S1312,50700,855.6799999999954,1296.3299999999995,0,1,1,1,0,0
12S1313,383030,12834.110000000464,5086.479999999995,0,1,1,1,0,0
12S1314,104920,1687.8000000000193,1488.369999999996,0,1,1,1,0,0
12S1316,15090,820.1499999999957,311.1000000000001,0,0,0,1,0,0
12S132,16910,606.7500000000006,357.85000000000014,0,0,0,0,0,0
12S133,18640,196.57000000000022,494.08000000000004,0,0,0,0,0,0
12S134,38410,656.709999999999,400.4299999999999,0,0,1,0,1,1
12S135,20580,599.2900000000005,412.09000000000003,0,0,0,0,0,0
12S136,22200,375.10000000000014,465.53000000000003,0,0,0,0,0,0
12S137,18910,292.31999999999994,508.7700000000004,0,0,0,0,0,0
12S138,16110,401.82999999999976,555.24,0,0,0,0,0,0
12S139,18590,422.8799999999988,269.45000000000005,0,0,0,0,0,0
12S140,16300,641.2900000000001,307.94000000000005,0,0,0,0,0,0
12S141,18890,525.78,499.7700000000003,0,0,0,0,0,0
12S144,30370,677.6099999999999,701.4199999999997,0,1,0,0,22,1
12S145,6120,213.25000000000009,64.53999999999988,0,0,0,0,0,0
12S148,57790,1508.1799999999973,1250.6700000000005,0,1,1,1,0,0
12S149,24440,370.59000000000003,466.33999999999975,0,0,0,0,0,0
12S150,48000,735.8800000000011,396.9400000000009,0,0,1,1,0,0
12S151,35790,846.2600000000101,308.390000000001,0,0,0,1,0,0
12S153,36200,445.34000000000026,777.7099999999999,0,1,1,0,0,0
12S155,82420,1159.570000000005,1092.9399999999855,0,1,1,1,0,0
12S156,37450,952.1899999999952,725.9600000000002,0,1,1,1,0,0
12S157,43010,848.2899999999972,664.1199999999944,0,0,1,1,0,0
12S158,22660,528.2099999999995,401.2899999999999,0,0,0,0,0,0
12S159,19650,598.849999999999,382.25999999999937,0,0,0,0,2,1
12S160,18740,392.77999999999963,299.20999999999987,0,0,0,0,0,0
12S161,26660,437.589999999999,269.79999999999984,0,0,0,0,3,1
12S163,33460,520.4000000000004,723.3499999999995,0,1,0,0,0,0
12S164,27060,668.2099999999992,572.3100000000005,0,0,0,0,0,0
12S167,66180,1035.4200000000003,1319.7599999999882,0,1,1,1,0,0
12S168,9670,226.43,176.65,0,0,0,0,0,0
12S170,38560,1078.24,919.3700000000001,0,1,1,1,1,1
12S171,21670,570.0799999999998,469.0099999999999,0,0,0,0,0,0
12S172,46790,1388.1899999999941,491.5900000000039,0,0,1,1,2,1
12S174,24080,548.3000000000006,485.31999999999954,0,0,0,0,1,1
12S175,59960,754.2300000000004,734.1200000000017,0,1,1,1,0,0
12S176,9270,192.08000000000004,264.24,0,0,0,0,0,0
12S180,95180,2337.4000000000083,1299.0299999999909,0,1,1,1,6,1
12S181,22640,816.8900000000004,460.9899999999991,0,0,0,1,0,0
12S182,29460,608.7400000000009,539.7400000000004,0,0,0,0,0,0
12S183,35600,422.30000000000007,466.5099999999998,0,0,0,0,0,0
12S184,63180,1101.0399999999977,1199.1999999999975,0,1,1,1,0,0
12S185,12410,435.2500000000004,235.17000000000002,0,0,0,0,26,1
12S186,10430,255.0500000000001,190.03999999999976,0,0,0,0,0,0
12S187,11040,367.7300000000001,168.85000000000014,0,0,0,0,0,0
12S189,28290,646.4299999999992,621.5200000000001,0,0,0,0,0,0
12S190,19460,386.3299999999999,482.3600000000003,0,0,0,0,0,0
12S191,52630,592.3899999999998,1577.3500000000013,0,1,1,0,0,0
12S193,239840,1330.1700000000021,1135.1300000000017,0,1,1,1,0,0
12S194,23390,289.02000000000027,581.8600000000001,0,0,0,0,0,0
12S195,20700,515.9499999999996,840.3899999999993,0,1,0,0,0,0
12S197,42080,722.1399999999946,1068.6600000000012,0,1,1,0,1,1
12S198,20180,306.99999999999994,344.0199999999997,0,0,0,0,0,0
12S199,4830,121.60000000000014,48.81000000000004,0,0,0,0,0,0
12S200,37240,884.0700000000014,1000.1100000000021,0,1,1,1,0,0
12S201,6930,205.97000000000023,161.77,0,0,0,0,0,0
12S202,4510,191.18000000000006,63.26000000000003,0,0,0,0,0,0
12S203,31300,399.18000000000006,388.49999999999966,0,0,0,0,0,0
12S205,25720,644.9399999999997,855.4799999999999,0,1,0,0,0,0
12S206,66620,2917.1499999999746,1600.5599999999906,0,1,1,1,0,0
12S207,88940,1089.6399999999962,804.4799999999971,0,1,1,1,0,0
12S208,20450,374.1600000000001,236.11000000000004,0,0,0,0,0,0
12S209,23720,510.37,684.44,0,0,0,0,0,0
12S210,10660,46.42,349.72999999999996,0,0,0,0,0,0
12S213,48120,782.820000000001,1067.1799999999994,0,1,1,1,0,0
12S214,47590,734.0099999999998,1163.1199999999983,0,1,1,1,0,0
12S216,35170,785.4400000000007,928.0900000000003,0,1,0,1,0,0
12S218,71060,1576.9599999999891,1122.019999999997,0,1,1,1,0,0
12S219,59390,826.2999999999996,1812.1699999999983,0,1,1,1,0,0
12S220,45590,1099.8700000000035,1147.240000000002,0,1,1,1,1,1
12S221,51580,739.539999999999,1467.819999999998,0,1,1,1,0,0
12S222,43300,815.9799999999998,911.1100000000017,0,1,1,1,0,0
