House,Duration,Peak,Volume,Outdoor_Events_x,Above_avg_vol,Above_avg_dur,Above_avg_peak,Outdoor_Events_y,City,Region,Outdoor_User
323,37790,636.97,811.71,0,1,1,0,1,Fort Collins,Midwest,1
325,49300,1246.74,894.51,0,1,1,1,9,Fort Collins,Midwest,1
326,41760,1033.17,980.89,0,1,1,1,14,Fort Collins,Midwest,1
327,11080,166.39,290.61,0,0,0,0,14,Fort Collins,Midwest,1
336,34090,766.58,440.22,0,0,0,1,7,Fort Collins,Midwest,1
338,10960,313.12,161.38,0,0,0,0,5,Fort Collins,Midwest,1
339,31020,294.06,456.84,0,0,0,0,13,Fort Collins,Midwest,1
340,36190,628.19,718.37,0,1,1,0,43,Fort Collins,Midwest,1
341,13470,334.26,187.02,0,0,0,0,19,Fort Collins,Midwest,1
343,24430,574.68,413.6,0,0,0,0,6,Fort Collins,Midwest,1
345,68140,974.74,1268.83,0,1,1,1,25,Fort Collins,Midwest,1
346,61530,1182.18,1491.57,0,1,1,1,2,Fort Collins,Midwest,1
348,21860,552.08,410.66,0,0,0,0,10,Fort Collins,Midwest,1
350,33950,892.58,684.39,0,0,0,1,28,Fort Collins,Midwest,1
352,34910,1002.06,724.15,0,1,0,1,23,Fort Collins,Midwest,1
354,36500,510.44,457.79,0,0,1,0,3,Fort Collins,Midwest,1
356,27190,450.17,720.66,0,1,0,0,6,Fort Collins,Midwest,1
357,28890,471.78,487.42,0,0,0,0,29,Fort Collins,Midwest,1
359,24700,806.55,413.86,0,0,0,1,0,Fort Collins,Midwest,0
370,39240,627.59,861.31,0,1,1,0,10,Scottsdale,Southwest,1
371,46260,1253.15,720.56,0,1,1,1,17,Scottsdale,Southwest,1
372,25910,379.8,668.09,0,0,0,0,12,Scottsdale,Southwest,1
373,13970,446.04,281.91,0,0,0,0,7,Scottsdale,Southwest,1
374,42110,738.03,803.13,0,1,1,1,8,Scottsdale,Southwest,1
375,64850,1297.05,1301.19,0,1,1,1,22,Scottsdale,Southwest,1
376,9430,282.86,336.08,0,0,0,0,37,Scottsdale,Southwest,1
377,9890,344.69,293.61,0,0,0,0,10,Scottsdale,Southwest,1
378,70360,2029.96,835.07,0,1,1,1,2,Scottsdale,Southwest,1
379,35170,1137.66,745.4,0,1,0,1,20,Scottsdale,Southwest,1
380,52510,1059.09,1410.33,0,1,1,1,14,Scottsdale,Southwest,1
